Jahr;GKZ;Geschlecht;erwerbsalter;gruppe_5;gruppe_15;Anzahl
2013;20101;weiblich;15 bis 64 Jahre;40 bis 44 Jahre;30 bis 49 Jahre;5
2013;20101;weiblich;15 bis 64 Jahre;45 bis 49 Jahre;30 bis 49 Jahre;5
2014;20405;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2014;20405;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2008;20635;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2007;20402;männlich;15 bis 64 Jahre;55 bis 59 Jahre;50 bis 64 Jahre;5
2004;20607;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2004;20442;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2008;20637;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2009;20403;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20415;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2008;20637;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2012;20402;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2008;20637;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2012;20402;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2003;20530;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2004;20608;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2004;20608;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2015;20722;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2014;20418;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2004;20201;weiblich;15 bis 64 Jahre;55 bis 59 Jahre;50 bis 64 Jahre;5
2006;20523;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2014;20421;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2012;20405;männlich;15 bis 64 Jahre;55 bis 59 Jahre;50 bis 64 Jahre;5
2013;20201;weiblich;15 bis 64 Jahre;55 bis 59 Jahre;50 bis 64 Jahre;5
2003;20727;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2010;20913;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2015;20722;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2006;20527;männlich;15 bis 64 Jahre;55 bis 59 Jahre;50 bis 64 Jahre;5
2007;20402;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;5
2006;20527;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2005;20810;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2005;20812;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2012;20725;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2003;20727;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2014;20501;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2005;20518;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2008;20101;männlich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;5
2008;20702;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2006;21002;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2008;20702;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2006;20923;männlich;15 bis 64 Jahre;50 bis 54 Jahre;50 bis 64 Jahre;5
2012;20414;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2014;20505;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2013;20305;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2009;20421;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2005;20813;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2008;20705;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2008;20705;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2003;20635;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2016;20624;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2007;20905;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2013;20305;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;5
2005;20817;männlich;15 bis 64 Jahre;55 bis 59 Jahre;50 bis 64 Jahre;5
2015;20724;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2005;20817;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2008;20711;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2007;20405;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2014;20523;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2012;20419;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2016;20627;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2015;20611;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2006;20530;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2006;20909;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20527;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2014;20527;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2003;20101;weiblich;unter 15 Jahre;unter 5 Jahre;unter 15 Jahre;5
2012;20421;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2010;20801;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20530;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2008;20719;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2016;20630;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2009;20409;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2006;20530;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2007;20640;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2016;20630;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2016;20630;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2009;20720;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2008;20720;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2013;20307;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2007;20405;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;5
2008;20720;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2014;20605;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2013;20307;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2014;20608;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2014;20608;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2005;20905;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2012;20726;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2009;20720;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2009;20720;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2005;20527;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;5
2008;20722;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2016;20634;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2015;20725;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2016;20634;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2015;20725;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2005;20527;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2011;20711;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2005;20527;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2014;20620;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2016;20635;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;5
2016;20635;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2008;20724;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;5
2014;20624;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2003;20421;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2005;20402;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2016;20635;weiblich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;5
2016;20635;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2014;20630;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2016;20635;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;5
2013;20316;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2012;20501;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2008;20727;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2008;20727;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2008;20727;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2009;20722;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2014;20634;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;5
2007;20702;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20634;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2014;20635;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2010;20923;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2014;20635;weiblich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;5
2003;20402;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2005;20530;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2008;20201;männlich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;5
2008;20801;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2005;20913;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2005;20913;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2005;20913;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20640;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2014;20640;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2016;20640;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2016;20640;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2004;20702;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2006;20918;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2006;20534;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2012;20505;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;5
2014;20702;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2007;20415;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2016;20644;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2016;20644;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20705;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2005;20403;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2009;20724;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2010;20726;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2004;20725;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2003;20803;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2007;20711;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;5
2008;20810;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2007;20711;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2016;20702;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2014;20720;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2014;20720;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2005;20403;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2016;20702;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2005;20923;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2014;20722;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;5
2011;20634;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2014;20722;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2014;20724;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20724;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2014;20724;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;5
2004;20421;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2011;20527;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2014;20725;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2014;20725;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;5
2008;20817;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2011;20307;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2015;20727;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2003;20804;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2015;20727;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;5
2012;20523;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2012;20523;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2005;21002;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2012;20527;männlich;15 bis 64 Jahre;50 bis 54 Jahre;50 bis 64 Jahre;5
2014;20803;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20804;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2003;20804;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2011;20530;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2003;20402;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2012;20527;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2008;20905;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2013;20405;männlich;15 bis 64 Jahre;55 bis 59 Jahre;50 bis 64 Jahre;5
2008;20905;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20808;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2012;20530;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2011;20530;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2005;21002;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2005;21002;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2009;20726;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2007;20720;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2016;20711;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2016;20711;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2016;20711;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2004;20630;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2007;20518;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20813;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2011;20531;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2014;20817;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2003;20421;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2016;20711;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2014;20817;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2014;20817;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2008;20913;männlich;15 bis 64 Jahre;55 bis 59 Jahre;50 bis 64 Jahre;5
2008;20913;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;5
2014;20901;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2008;20913;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20905;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2008;20913;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2004;20630;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2005;20634;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2007;20720;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2014;20909;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2008;20305;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2004;20630;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2012;20634;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2003;20702;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20913;männlich;15 bis 64 Jahre;50 bis 54 Jahre;50 bis 64 Jahre;5
2014;20913;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20913;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2004;20424;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2008;20914;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2011;20719;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2008;20305;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2003;20305;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2014;20913;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2008;20305;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2015;20803;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2012;20727;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2008;20305;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2007;20722;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2003;20804;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2003;20702;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2014;20918;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2014;20923;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2014;21002;männlich;15 bis 64 Jahre;45 bis 49 Jahre;30 bis 49 Jahre;5
2008;20923;weiblich;15 bis 64 Jahre;55 bis 59 Jahre;50 bis 64 Jahre;5
2015;20803;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2006;20402;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2013;20409;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2006;20306;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2016;20722;männlich;15 bis 64 Jahre;55 bis 59 Jahre;50 bis 64 Jahre;5
2016;20722;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2008;21002;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;5
2008;21002;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2008;21002;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2012;20608;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2008;21002;weiblich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2016;20722;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2003;20702;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2003;20702;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2015;20101;männlich;15 bis 64 Jahre;25 bis 29 Jahre;15 bis 29 Jahre;5
2007;20421;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2005;21009;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2015;20201;männlich;15 bis 64 Jahre;30 bis 34 Jahre;30 bis 49 Jahre;5
2016;20724;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2015;20201;weiblich;65 Jahre und älter;100 Jahre und älter;85 Jahre und älter;5
2004;20306;männlich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2015;20305;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2015;20305;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2004;20634;männlich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2015;20305;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2015;20306;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2015;20306;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2007;20421;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2015;20306;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2006;20101;männlich;15 bis 64 Jahre;35 bis 39 Jahre;30 bis 49 Jahre;5
2006;20101;männlich;15 bis 64 Jahre;40 bis 44 Jahre;30 bis 49 Jahre;5
2012;20801;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2015;20307;weiblich;65 Jahre und älter;95 bis 99 Jahre;85 Jahre und älter;5
2009;20803;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2009;20803;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2008;21009;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2012;20702;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2008;21009;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2016;20725;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2015;20402;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2015;20402;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2015;20402;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2012;20702;männlich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2007;20810;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2011;20101;männlich;15 bis 64 Jahre;35 bis 39 Jahre;30 bis 49 Jahre;5
2013;20414;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2015;20403;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2006;20101;weiblich;15 bis 64 Jahre;35 bis 39 Jahre;30 bis 49 Jahre;5
2015;20403;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2009;20803;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2015;20405;männlich;15 bis 64 Jahre;60 bis 64 Jahre;50 bis 64 Jahre;5
2006;20305;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2015;20405;weiblich;65 Jahre und älter;70 bis 74 Jahre;65 bis 84 Jahre;5
2015;20405;weiblich;65 Jahre und älter;75 bis 79 Jahre;65 bis 84 Jahre;5
2004;20702;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
2009;20101;männlich;15 bis 64 Jahre;40 bis 44 Jahre;30 bis 49 Jahre;5
2015;20412;männlich;65 Jahre und älter;65 bis 69 Jahre;65 bis 84 Jahre;5
2015;20412;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2011;20608;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2012;20620;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2004;20306;männlich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2012;20801;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2009;20425;weiblich;65 Jahre und älter;80 bis 84 Jahre;65 bis 84 Jahre;5
2011;20608;weiblich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2016;20801;männlich;65 Jahre und älter;85 bis 89 Jahre;85 Jahre und älter;5
2009;20804;weiblich;65 Jahre und älter;90 bis 94 Jahre;85 Jahre und älter;5
